"scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation","url_source","project_pi","project_pi_contact"
"Erodium cicutarium","seed mass","2.15","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","leaf area","891.8668","mm2","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com"
"Erodium cicutarium","seed mass","0.845","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","0.845","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","1.46","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","1.46","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","3.83","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","3.83","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","45.03","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","56.94","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","seed mass","2.3","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","2.27","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","1.21","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","2.22","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","1.53","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","3.83","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","4.6","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","leaf nitrogen content per leaf dry mass","19.7","mg.g-1","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com"
"Erodium cicutarium","seed mass","3.37","mg","We used the Jepson Manual (Jepson & Hickman 1993) for vegetative height, seed size and flowering dates and supplemented using other field guides (Smith 1952; Munz 1959), data bases [Ecological Flora Data base (http://ucjeps.berkeley.edu/efc/dbase.html)] and field measurements as needed.","34.67528","-120.0406",NA,"http://datadryad.org/resource/doi:10.5061/dryad.50hd2","Molinari MA","molinari@lifesci.ucsb.edu"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","19.3485","m2·kg-1","SLA was solely obtained via field measurements and calculated on three leaves (from separate individuals) by scanning leaves and analysing the images with Image J (Abramoff, Magalhaes & Ram 2004), petioles were excluded from the analysis. Leaf area for grasses was acquired using the leaf blade (i.e. the portion of the leaf above the sheath and ligule).","34.67528","-120.0406",NA,"http://datadryad.org/resource/doi:10.5061/dryad.50hd2","Molinari MA","molinari@lifesci.ucsb.edu"
"Erodium cicutarium","whole plant height","0.3","m","We used the Jepson Manual (Jepson & Hickman 1993) for vegetative height, seed size and flowering dates and supplemented using other field guides (Smith 1952; Munz 1959), data bases [Ecological Flora Data base (http://ucjeps.berkeley.edu/efc/dbase.html)] and field measurements as needed.","34.67528","-120.0406",NA,"http://datadryad.org/resource/doi:10.5061/dryad.50hd2","Molinari MA","molinari@lifesci.ucsb.edu"
"Erodium cicutarium","leaf nitrogen content per leaf area","0.000878937345","kg.m-2","compiled data in a global trait database (Glopnet)","40.05","-105.6","3510 m","http://www.nature.com/nature/journal/v428/n6985/suppinfo/nature02403.html","I. Wright & P. Reich","iwright@bio.mq.edu.au"
"Erodium cicutarium","leaf nitrogen content per leaf dry mass","19.7","mg.g-1","compiled data in a global trait database (Glopnet)","56.61667","61.06667",NA,"http://www.nature.com/nature/journal/v428/n6985/suppinfo/nature02403.html","I. Wright & P. Reich","iwright@bio.mq.edu.au"
"Erodium cicutarium","seed mass","2.15","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","leaf area","2157","mm2","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","K. Thompson","ken.thompson@sheffield.ac.uk"
"Erodium cicutarium","leaf area","2688","mm2","actual measurement (following LEDA data standards)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","K. Thompson","ken.thompson@sheffield.ac.uk"
"Erodium cicutarium","leaf area","784","mm2","actual measurement (following LEDA data standards)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","KÃ¼hner","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","leaf area","1341","mm2","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","K. Thompson","ken.thompson@sheffield.ac.uk"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","16.4","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.084910476","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.082","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.082","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.019","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.027","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.0081","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.0205","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.1068","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.1068","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf dry mass","0.39781","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","leaf dry mass per leaf fresh mass","90.98","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","leaf dry mass per leaf fresh mass","107.92","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","leaf dry mass per leaf fresh mass","98.5","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf dry mass","0.5252","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant height","0.12","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","leaf dry mass per leaf fresh mass","98.37","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant height","0.47","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant height","0.25","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant height","0.25","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant height","0.6","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf area per whole plant leaf dry mass","31.7","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf area per whole plant leaf dry mass","34.61","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","leaf area","9129.99","mm2","actual measurement (following LEDA data standards)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","D.K. Kunzmann","dkunzmann@gmx.de"
"Erodium moschatum","leaf area","7944.99","mm2","actual measurement (following LEDA data standards)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","D.K. Kunzmann","dkunzmann@gmx.de"
"Erodium moschatum","seed mass","1.65","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium moschatum","seed mass","1.65","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium moschatum","seed mass","5.47","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium moschatum","whole plant leaf dry mass","0.24403","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant height","0.6","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf area per whole plant leaf dry mass","22.68","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf area per whole plant leaf dry mass","22.7","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf area per whole plant leaf dry mass","27.28","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf area per whole plant leaf dry mass","17.62","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf area per whole plant leaf dry mass","22.68","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf area per whole plant leaf dry mass","34.61","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf area per whole plant leaf dry mass","34.61","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf area per whole plant leaf dry mass","38.96","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf area per whole plant leaf dry mass","25.9","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant leaf area per whole plant leaf dry mass","31.7","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","leaf dry mass per leaf fresh mass","136.48","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium moschatum","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com"
"Erodium moschatum","seed mass","1.94","mg","We used the Jepson Manual (Jepson & Hickman 1993) for vegetative height, seed size and flowering dates and supplemented using other field guides (Smith 1952; Munz 1959), data bases [Ecological Flora Data base (http://ucjeps.berkeley.edu/efc/dbase.html)] and field measurements as needed.","34.67528","-120.0406",NA,"http://datadryad.org/resource/doi:10.5061/dryad.50hd2","Molinari MA","molinari@lifesci.ucsb.edu"
"Erodium moschatum","seed mass","1.81","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
